"size","decay","mse"
7,0.46,0.521934560785318
4,0.47,0.521926062884151
5,0.47,0.521927419419097
6,0.47,0.521927629197149
7,0.47,0.52192606972522
4,0.48,0.521920560218667
5,0.48,0.521920420105158
6,0.48,0.521919490348689
7,0.48,0.52191822560282
4,0.49,0.52191379481678
5,0.49,0.521913223875637
6,0.49,0.52191206317496
7,0.49,0.521910461840119
4,0.5,0.521908102343789
5,0.5,0.521906722461742
6,0.5,0.521904507700096
7,0.5,0.521903041256334
4,0.51,0.521903226320877
5,0.51,0.521900702919497
6,0.51,0.521897816747735
7,0.51,0.521896893680354
4,0.52,0.52189834762988
5,0.52,0.521894356158644
6,0.52,0.521891553592629
7,0.52,0.521889776329181
4,0.53,0.52189357234156
5,0.53,0.521889481854421
6,0.53,0.521885640692324
7,0.53,0.521883366007656
4,0.54,0.521888835597044
5,0.54,0.521883693864211
6,0.54,0.521880056365149
7,0.54,0.521877372277899
4,0.55,0.521886098743045
5,0.55,0.521879143303446
6,0.55,0.52187279056676
7,0.55,0.521871647683697
4,0.56,0.521878896215092
5,0.56,0.521874950063083
6,0.56,0.521869763832653
7,0.56,0.521866272255627
4,0.57,0.52187945980111
5,0.57,0.521870569235652
6,0.57,0.521864858591566
7,0.57,0.521861099932378
4,0.58,0.521877460370487
5,0.58,0.521866835702995
6,0.58,0.521860225761002
7,0.58,0.521856020125214
4,0.59,0.521874936337336
5,0.59,0.52186335856246
6,0.59,0.5218558924217
7,0.59,0.521851262517854
4,0.6,0.521873529029079
5,0.6,0.521860216827833
6,0.6,0.521852033397874
7,0.6,0.521846770713275
4,0.61,0.521872743898964
5,0.61,0.521857433986324
6,0.61,0.521848299331915
7,0.61,0.521842560282302
4,0.62,0.521870804423
5,0.62,0.521854640967179
6,0.62,0.521844555862731
7,0.62,0.521838521781163
4,0.63,0.521868815695203
5,0.63,0.521852221078974
6,0.63,0.521841052273017
7,0.63,0.521834720691903
4,0.64,0.521867004765906
5,0.64,0.521850036358097
6,0.64,0.521838188594005
7,0.64,0.521831186735854
4,0.65,0.52187133920506
5,0.65,0.521848216277065
6,0.65,0.521834253440063
7,0.65,0.521827818990197
4,0.66,0.521870033967314
5,0.66,0.521847263984872
6,0.66,0.521832291264394
7,0.66,0.521824666441501
4,0.67,0.521870473369995
5,0.67,0.521845613595856
6,0.67,0.52182979495018
7,0.67,0.521822080521239
4,0.68,0.521871093604641
5,0.68,0.521843968548202
6,0.68,0.521827953914091
7,0.68,0.521818456647263
4,0.69,0.521872450480423
5,0.69,0.521843206200979
6,0.69,0.521826235021407
7,0.69,0.521815753608065
4,0.7,0.521871275875156
5,0.7,0.521840889469805
6,0.7,0.521824365319383
7,0.7,0.52181337039928
4,0.71,0.521871739670211
5,0.71,0.521841153915264
6,0.71,0.521822583963511
7,0.71,0.521811217684438
4,0.72,0.521873845669553
5,0.72,0.521842090097383
6,0.72,0.521821630422348
7,0.72,0.521808310623789
4,0.73,0.521876198840441
5,0.73,0.521842772497111
6,0.73,0.521820591069021
7,0.73,0.521806064913475
4,0.74,0.521877816829208
5,0.74,0.521842496362006
6,0.74,0.521819596813127
7,0.74,0.521803802889119
4,0.75,0.521880090172706
5,0.75,0.521842394425387
6,0.75,0.521818817842575
7,0.75,0.52180258258359
4,0.76,0.521882629940491
5,0.76,0.521843584813935
6,0.76,0.521818181416087
7,0.76,0.521800990207486
4,0.77,0.521886815824821
5,0.77,0.521844457961068
6,0.77,0.521818142183096
7,0.77,0.521800760342184
4,0.78,0.521889936665877
5,0.78,0.521847130582278
6,0.78,0.521817280011234
7,0.78,0.521800646903832
4,0.79,0.521893334579636
5,0.79,0.521847588221245
6,0.79,0.521818288182799
7,0.79,0.521798845598307
4,0.8,0.521896922995289
5,0.8,0.521849027645323
6,0.8,0.521818252500773
7,0.8,0.52179803791563
4,0.81,0.521899791666595
5,0.81,0.521849874550482
6,0.81,0.521818695494298
7,0.81,0.521797325214008
4,0.82,0.521904208751389
5,0.82,0.521852107191323
6,0.82,0.521819009628982
7,0.82,0.521797341079234
4,0.83,0.521908280864795
5,0.83,0.521855182664564
6,0.83,0.521820269586593
7,0.83,0.521797081590272
4,0.84,0.521914041259704
5,0.84,0.521856872651518
6,0.84,0.521821060285475
7,0.84,0.521796759162573
4,0.85,0.521919627121871
5,0.85,0.521859047815299
6,0.85,0.521821716415569
7,0.85,0.521797028133461
4,0.86,0.521923320424108
5,0.86,0.521861474619317
6,0.86,0.521822956460216
7,0.86,0.521797271567043
4,0.87,0.521929871071215
5,0.87,0.521865934142013
6,0.87,0.521824105362516
7,0.87,0.521796576219141
